ID;Lat;Long;USERS_TOT;USERS_O;USERS_G;USERS_FS;USERS_MAM;primary;tree_ri;ghm;heght;psri;npp;vcf;notho_ri;biomass;BIOMA
5382;-4810774.354;-8120722.607;22.207241;9.762962;8.799989;4.694554;3.344048;3.072931;10.724059;0.341712;12.666793;-0.053534;14513.71429;53.4;1.850526;71.63285;2
5383;-4810774.354;-8094401.127;20.922442;8.952799;8.255991;4.162323;3.253823;2.733641;9.34855;0.233054;15.702694;-0.024042;13840.52941;37.647059;1.7633;57.326675;2
5384;-4810774.354;-8054918.906;23.578556;9.529023;8.933877;4.876168;4.174448;3.15665;12.883557;0.16997;2.219265;-0.838059;9505.384615;73.653846;2.766652;62.281383;2
5385;-4810774.354;-8015436.686;20.984735;8.668006;8.034792;4.678109;3.012159;3.229738;13.161126;0.193467;15.752681;-0.266376;10807.62069;58.28125;2.847274;103.41103;2
5386;-4810774.354;-7975954.466;13.39326;5.32022;4.588697;2.99946;2.101605;2.487286;9.655592;0.088564;27.489018;-0.075187;10167.52778;75.111111;2.872474;127.537891;2
5387;-4810774.354;-7936472.245;17.809458;7.641548;8.18093;3.224483;2.504551;2.897737;9.162487;0.257902;12.513461;-0.163546;6046.785714;31.482759;3.244192;29.61871;2
5397;-4806975.176;-8166785.197;17.307109;6.886562;5.527666;3.632681;2.92132;2.541135;12.492854;0.293496;17.350848;-0.110975;14564.71429;71.371429;1.883572;96.609967;2
5398;-4803175.998;-8133883.347;20.264873;8.986408;7.693822;4.426406;2.977192;2.986785;10.222704;0.325191;16.06973;-0.062949;16426.07692;59.666667;1.386896;94.508541;2
5399;-4803175.998;-8107561.867;17.2963;7.527596;6.166829;3.769813;2.911895;2.437153;9.448047;0.205306;16.013564;-0.057503;16194.17949;61.820513;1.514293;100.054443;2
5400;-4803175.998;-8081240.387;18.697706;7.991438;7.026523;3.889088;2.898839;2.676776;11.520349;0.216084;17.828981;-0.031217;15363.84615;55.333333;2.433855;75.677591;2
5401;-4803175.998;-8041758.166;14.595649;5.951819;4.915563;3.381529;2.347995;2.365064;12.073586;0.192785;18.443136;-0.088318;11181.86487;76.384615;2.530812;133.029135;2
5402;-4803175.998;-8002275.946;15.984319;6.56724;5.572971;3.708457;2.251223;2.864392;10.8161;0.279662;18.250395;-0.071543;12031.66667;66.564103;2.932671;125.156995;2
5403;-4803175.998;-7962793.725;14.934882;6.250269;6.006028;3.146858;2.195909;2.5088;9.987257;0.108376;17.590389;-0.153106;8439.972222;59.153846;3.169093;88.85074;2
5404;-4803175.998;-7923311.505;16.787408;7.194281;7.872438;2.941269;2.376916;2.655252;6.119905;0.268422;5.482042;-0.00747;4937.75;13.775;1.994577;23.300119;2
5413;-4795577.641;-8160204.827;15.31658;5.683016;4.331795;3.22944;3.348285;2.486851;13.159507;0.282636;24.477778;-0.087685;11308.325;79.45;2.356269;129.347032;2
5414;-4795577.641;-8120722.607;22.675856;9.963655;9.132638;4.674783;3.208403;3.090588;9.606043;0.268771;13.743532;-0.036679;15490;44.641026;1.527503;65.963179;2
5415;-4795577.641;-8094401.127;17.528768;7.474454;6.260374;3.789368;2.797534;2.584971;10.750846;0.202225;19.812947;-0.035444;15488.94872;58.897436;2.027687;96.512648;2
